Experiment,Individual,Treatment,DOL,RepDay,Date,Lifestage,Tray,Replicate,Weight_mg,DOL2
R1,13,Large,7,3,25/10/2021,larva,6,18,43.1,7DOL
R3,2,Large,8,4,28/06/2022,larva,13,20,43,8DOL
R3,37,Large,8,4,28/06/2022,larva,13,20,43,8DOL
R3,7,Control,8,4,24/06/2022,larva,12,19,43,8DOL
R1,6,Large,6,2,24/10/2021,larva,4,10,43,6DOL
R1,15,Control,8,4,26/10/2021,larva,1,19,42.9,8DOL
R2,21,Control,10,6,04/02/2022,larva,7,23,42.71,10DOL
R3,93,Large,8,4,28/06/2022,larva,13,20,42.7,8DOL
R1,11,Large,6,2,24/10/2021,larva,4,10,42.5,6DOL
R3,18,Control,8,4,24/06/2022,larva,10,17,42.4,8DOL
R3,6,Control,9,5,25/06/2022,larva,10,22,42.3,9DOL
R3,7,Control,7,3,23/06/2022,larva,9,11,42.3,7DOL
R2,23,Control,10,6,04/02/2022,larva,7,24,42.26,10DOL
R3,91,Large,8,4,28/06/2022,larva,13,20,42.2,8DOL
R1,4,Large,6,2,24/10/2021,larva,6,12,42.1,6DOL
R1,13,Large,8,4,26/10/2021,larva,5,23,42,8DOL
R2,23,Control,8,4,02/02/2022,larva,7,10,41.92,8DOL
R1,25,Control,8,4,26/10/2021,larva,1,19,41.9,8DOL
R3,20,Control,8,4,24/06/2022,larva,10,17,41.1,8DOL
R3,15,Control,8,4,24/06/2022,larva,12,19,41.1,8DOL
R1,25,Large,7,3,25/10/2021,larva,4,16,41.1,7DOL
R2,19,Control,13,9,07/02/2022,larva,7,41,41.08,13DOL
R3,66,Large,8,4,28/06/2022,larva,13,20,40.9,8DOL
R3,86,Large,8,4,28/06/2022,larva,13,20,40.9,8DOL
R1,16,Large,7,3,25/10/2021,larva,4,16,40.8,7DOL
R1,25,Large,7,3,25/10/2021,larva,5,17,40.8,7DOL
R1,16,Large,6,2,24/10/2021,larva,6,12,40.8,6DOL
R1,14,Large,7,3,25/10/2021,larva,4,16,40.6,7DOL
R1,12,Control,7,3,25/10/2021,larva,2,14,40.6,7DOL
R1,5,Control,8,4,26/10/2021,larva,2,20,40.5,8DOL
R2,23,Control,10,6,04/02/2022,larva,7,23,40.34,10DOL
R2,25,Large,11,7,05/02/2022,larva,8,32,40.33,11DOL
R3,21,Control,8,4,24/06/2022,larva,9,16,40.3,8DOL
R3,18,Control,7,3,23/06/2022,larva,11,13,40.3,7DOL
R2,12,Large,9,5,03/02/2022,larva,8,20,40.2,9DOL
R2,23,Control,7,3,01/02/2022,larva,7,5,40.2,7DOL
R1,18,Large,6,2,24/10/2021,larva,5,11,40.2,6DOL
R1,22,Control,7,3,25/10/2021,larva,2,14,40.1,7DOL
R1,10,Control,8,4,26/10/2021,larva,2,20,39.7,8DOL
R1,4,Large,6,2,24/10/2021,larva,5,11,39.6,6DOL
R2,4,Control,8,4,02/02/2022,larva,7,11,39.52,8DOL
R3,59,Large,8,4,28/06/2022,larva,13,20,39.4,8DOL
R1,17,Large,6,2,24/10/2021,larva,6,12,39.4,6DOL
R1,15,Control,7,3,25/10/2021,larva,1,13,39.2,7DOL
R2,21,Control,7,3,01/02/2022,larva,7,6,39.19,7DOL
R1,6,Control,8,4,26/10/2021,larva,2,20,39.1,8DOL
R3,52,Large,8,4,28/06/2022,larva,13,20,39.1,8DOL
R3,42,Large,8,4,28/06/2022,larva,13,20,39,8DOL
R1,10,Control,7,3,25/10/2021,larva,1,13,38.9,7DOL
